Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Order ID
1,2023-11-24,CUST328,Male,34,Beauty,3,50,OQ0000
2,2023-02-27,CUST403,Female,26,Clothing,2,500,VH0001
3,2023-01-13,CUST248,Male,50,Electronics,1,30,QX0002
4,2023-05-21,CUST114,Male,37,Clothing,1,500,XE0003
5,2023-05-06,CUST336,Male,30,Beauty,2,50,QQ0004
6,2023-04-25,CUST027,Female,45,Beauty,1,30,NZ0005
7,2023-03-13,CUST051,Male,46,Clothing,2,25,NL0006
8,2023-02-22,CUST387,Male,30,Electronics,4,25,YQ0007
9,2023-12-13,CUST010,Male,63,Electronics,2,300,HI0008
10,2023-10-07,CUST321,Female,52,Clothing,4,50,MB0009
11,2023-02-14,CUST174,Male,23,Clothing,2,50,PT0010
12,2023-10-30,CUST467,Male,35,Beauty,3,25,LW0011
13,2023-08-05,CUST414,Male,22,Electronics,3,500,YO0012
14,2023-01-17,CUST249,Male,64,Clothing,4,30,RD0013
15,2023-01-16,CUST459,Female,42,Electronics,4,500,BZ0014
16,2023-02-17,CUST322,Male,19,Clothing,3,500,HF0015
17,2023-04-22,CUST159,Female,27,Clothing,4,25,XT0016
18,2023-04-30,CUST351,Female,47,Electronics,2,25,DI0017
19,2023-09-16,CUST271,Female,62,Clothing,2,25,GH0018
20,2023-11-05,CUST233,Male,22,Clothing,3,300,AN0019
21,2023-01-14,CUST260,Female,50,Beauty,1,500,HK0020
22,2023-10-15,CUST044,Male,18,Clothing,2,50,EC0021
23,2023-04-12,CUST117,Female,35,Clothing,4,30,AW0022
24,2023-11-29,CUST278,Female,49,Clothing,1,300,TO0023
25,2023-12-26,CUST181,Female,64,Beauty,1,50,DD0024
26,2023-10-07,CUST458,Female,28,Electronics,2,500,DI0025
27,2023-08-03,CUST269,Female,38,Beauty,2,25,BH0026
28,2023-04-23,CUST292,Female,43,Beauty,1,500,FF0027
29,2023-08-18,CUST122,Female,42,Electronics,1,30,QL0028
30,2023-10-29,CUST129,Female,39,Beauty,3,300,MJ0029
31,2023-05-23,CUST022,Male,44,Electronics,4,300,OU0030
32,2023-01-04,CUST102,Male,30,Beauty,3,30,IB0031
33,2023-03-23,CUST179,Female,50,Electronics,2,50,MJ0032
34,2023-12-24,CUST238,Female,51,Clothing,3,50,UC0033
35,2023-08-05,CUST123,Female,58,Beauty,3,300,WA0034
36,2023-06-24,CUST025,Male,52,Beauty,3,300,OL0035
37,2023-05-23,CUST498,Female,18,Beauty,3,25,IX0036
38,2023-03-21,CUST097,Male,38,Beauty,4,50,SE0037
39,2023-04-21,CUST007,Male,23,Clothing,4,30,MP0038
40,2023-06-22,CUST021,Male,45,Beauty,1,50,AC0039
41,2023-02-22,CUST425,Male,34,Clothing,2,25,PS0040
42,2023-02-17,CUST020,Male,22,Clothing,3,300,MK0041
43,2023-07-14,CUST218,Female,48,Clothing,1,300,NG0042
44,2023-02-19,CUST470,Female,22,Clothing,1,25,WZ0043
45,2023-07-03,CUST146,Female,55,Electronics,1,30,MA0044
46,2023-06-26,CUST455,Female,20,Electronics,4,300,KU0045
47,2023-11-06,CUST410,Female,40,Beauty,3,500,IC0046
48,2023-05-16,CUST490,Male,54,Electronics,3,300,ES0047
49,2023-01-23,CUST062,Female,54,Electronics,2,500,QH0048
50,2023-08-24,CUST439,Female,27,Beauty,3,25,QT0049
51,2023-10-02,CUST231,Male,27,Beauty,3,25,ZV0050
52,2023-03-05,CUST293,Female,36,Beauty,1,300,LV0051
53,2023-07-13,CUST054,Male,34,Electronics,2,50,YW0052
54,2023-02-10,CUST285,Female,38,Electronics,3,500,TP0053
55,2023-10-10,CUST470,Male,31,Beauty,4,30,NW0054
56,2023-05-31,CUST318,Female,26,Clothing,3,300,QS0055
57,2023-11-18,CUST378,Female,63,Beauty,1,30,FC0056
58,2023-11-13,CUST103,Male,18,Clothing,4,300,HP0057
59,2023-07-05,CUST167,Male,62,Clothing,1,50,OF0058
60,2023-10-23,CUST084,Male,30,Beauty,3,50,EY0059
61,2023-04-09,CUST297,Male,21,Beauty,4,50,BY0060
62,2023-12-27,CUST005,Male,18,Beauty,2,50,UO0061
63,2023-02-05,CUST340,Male,57,Electronics,2,25,ZR0062
64,2023-01-24,CUST263,Male,49,Clothing,4,25,AY0063
65,2023-12-05,CUST360,Male,51,Electronics,4,500,KX0064
66,2023-04-27,CUST084,Female,45,Electronics,1,30,VD0065
67,2023-05-29,CUST096,Female,48,Beauty,4,300,BA0066
68,2023-02-10,CUST255,Male,25,Electronics,1,300,UU0067
69,2023-04-30,CUST069,Female,56,Beauty,3,25,FC0068
70,2023-02-21,CUST006,Female,43,Clothing,1,300,JU0069
71,2023-07-14,CUST299,Female,51,Beauty,4,25,TW0070
72,2023-05-23,CUST425,Female,20,Electronics,4,500,ZT0071
73,2023-08-21,CUST478,Male,29,Electronics,3,30,VA0072
74,2023-11-22,CUST296,Female,18,Beauty,4,500,AW0073
75,2023-07-06,CUST356,Male,61,Beauty,4,50,QI0074
76,2023-03-25,CUST310,Female,22,Electronics,2,50,DI0075
77,2023-07-09,CUST057,Female,47,Clothing,2,50,IM0076
78,2023-07-01,CUST131,Female,47,Clothing,3,500,LF0077
79,2023-04-18,CUST064,Male,34,Beauty,1,300,CF0078
80,2023-12-10,CUST447,Female,64,Clothing,2,30,DC0079
81,2023-05-17,CUST487,Male,40,Electronics,1,50,KD0080
82,2023-12-26,CUST212,Female,32,Beauty,4,50,UO0081
83,2023-12-16,CUST249,Male,54,Electronics,2,50,LQ0082
84,2023-11-28,CUST053,Female,38,Electronics,3,30,GA0083
85,2023-02-06,CUST077,Male,31,Clothing,3,50,CI0084
86,2023-11-08,CUST399,Male,19,Beauty,3,30,JG0085
87,2023-11-22,CUST262,Female,28,Beauty,2,50,HV0086
88,2023-03-29,CUST085,Male,56,Clothing,1,500,AL0087
89,2023-10-01,CUST138,Female,55,Electronics,4,500,JH0088
90,2023-05-06,CUST431,Female,51,Electronics,1,30,SF0089
91,2023-03-25,CUST274,Female,55,Electronics,1,500,BE0090
92,2023-08-25,CUST299,Female,51,Electronics,4,30,ZI0091
93,2023-07-14,CUST133,Female,35,Beauty,4,500,DZ0092
94,2023-05-19,CUST465,Female,47,Beauty,2,500,QY0093
95,2023-11-24,CUST173,Female,32,Clothing,2,30,IV0094
96,2023-12-19,CUST149,Female,44,Clothing,2,300,BG0095
97,2023-10-13,CUST015,Female,51,Beauty,2,500,UN0096
98,2023-04-23,CUST167,Female,55,Beauty,2,50,UK0097
99,2023-12-17,CUST175,Female,50,Electronics,4,300,WC0098
100,2023-06-16,CUST023,Male,41,Electronics,1,30,QE0099
101,2023-01-29,CUST204,Male,32,Clothing,2,300,FW0100
102,2023-04-28,CUST328,Female,47,Beauty,2,25,LV0101
103,2023-01-17,CUST192,Female,59,Clothing,1,25,HS0102
104,2023-06-11,CUST351,Female,34,Beauty,2,500,XQ0103
105,2023-07-25,CUST261,Female,22,Electronics,1,500,GR0104
106,2023-05-18,CUST448,Female,46,Clothing,1,50,YU0105
107,2023-02-03,CUST394,Female,21,Clothing,4,300,LK0106
108,2023-04-19,CUST133,Female,27,Beauty,3,25,CT0107
109,2023-10-18,CUST121,Female,34,Electronics,4,500,EF0108
110,2023-06-11,CUST362,Male,27,Clothing,3,300,AE0109
111,2023-04-19,CUST272,Female,34,Electronics,3,500,JM0110
112,2023-12-02,CUST121,Male,37,Clothing,3,500,EL0111
113,2023-09-13,CUST035,Female,41,Electronics,2,25,TC0112
114,2023-07-22,CUST441,Female,22,Beauty,4,25,DN0113
115,2023-11-26,CUST408,Male,51,Clothing,3,500,XX0114
116,2023-08-23,CUST497,Female,23,Clothing,1,30,OC0115
117,2023-03-15,CUST300,Male,19,Electronics,2,500,WZ0116
118,2023-05-16,CUST480,Female,30,Electronics,4,500,XN0117
119,2023-03-13,CUST177,Female,60,Clothing,3,50,JP0118
120,2023-05-07,CUST154,Male,60,Beauty,1,50,UZ0119
121,2023-10-15,CUST199,Female,28,Electronics,4,50,MN0120
